gene,OL,OPC,MG,EN,EPEN,IN,AST,VAS
Aff2,0.243406027,0.48190405,-1.266639475,0,0.41566223,0.612961469,-1.010594453,-0.71366762
Apex2,-0.571522145,-0.113432137,-0.434240915,0.321711117,0.246245569,0.274732775,-0.235784859,0
Arhgef9,-0.969452259,-0.243805501,-1.030062412,0.816647227,-0.576350921,0,-0.345437499,-0.803376203
Atp2b3,-0.981768965,-0.611848317,-0.900441749,0.58694229,2.261917441,0,-0.995620652,-0.846983989
Cask,-0.371559396,1.559100099,1.191719985,-0.392246338,-0.73176917,0,-0.400027776,0.242781488
Cdkl5,0.261232836,0,-0.989842424,0.234466874,-0.250252317,0.32734054,-0.924949993,-0.645761172
Chm,0,0,0,0,0.110326696,0.125498781,-0.154344806,0.141177632
Cnksr2,-1.964489503,-1.857211014,-2.196472341,2.455018143,-2.130302213,-1.124116607,-2.503765329,-1.904352158
Diaph2,-0.832292735,-0.158314645,1.607100852,0,0,-0.919403582,-0.150668249,0.96645423
Eda,0,0,0,0,0,0,1.092243127,0
Fam120c,0,0,-0.318005032,0,-0.196257906,0,0.156062389,-0.103293731
Fgf13,-1.779235683,-0.423763136,2.030022763,-1.330440466,-1.427058587,2.044328094,0.147691845,-0.737613069
Frmpd4,-3.654521152,-3.073701718,-3.24679199,1.448683487,1.869907811,0.675815817,-3.835608764,-0.74174242
Ftx,-0.752958677,-0.758521498,-0.795231427,0.75843641,-0.693381946,0.336140407,-0.930720763,-0.200672839
Gpm6b,1.227244322,0.177533213,-2.295521213,-0.73221302,-1.876251365,-1.666170255,1.338028348,-1.778668818
Gprasp1,-0.226134728,-0.173407501,-0.465120396,0.26990515,-0.34135506,0.229390121,-0.251922723,-0.212528676
Gria3,-2.2668282,0,-2.229867328,1.65094708,-2.266263566,0.318226089,-2.536709075,-1.398082449
Gripap1,0,0,0,0,0,0.126795022,-0.100821599,0
Hdac8,-0.574205671,0.222922339,-0.202255983,-0.880549592,0.275645174,-0.365522181,2.120585794,-0.395515722
Il1rapl1,-0.819700908,1.183221796,-3.155314393,0.804618262,-1.977798746,0.237022718,-0.837073293,-2.724537031
Iqsec2,-1.174545592,-0.605271559,-0.115761783,0.881517858,-0.268470953,-0.454152816,-0.454733135,-0.280795569
Lamp2,0,0,1.041569376,0,0.63906319,-0.290163154,0.500879926,0
Map7d2,0,0.258184209,-0.915723218,0.221624027,-0.896223226,0.328546078,-0.304192292,-0.705939593
Mid1,0,0,0,0,2.383620364,0,1.354714808,0
Nhsl2,-1.18963386,-0.901507944,-0.743947899,0.479574443,2.560702699,-0.487716363,-0.903398129,0.866059393
Ocrl,-0.367135575,0,-0.323995783,0,0.64107302,0.114121022,0.462839138,0
Ogt,-0.127066966,0,0.16578641,-0.33200964,0.515580357,0.320681558,0.343633005,0.744022355
Ophn1,-1.345125159,0.146619848,2.660922721,-0.775097947,0.21102032,-0.177092007,-0.193948016,-0.114201695
Pak3,-1.153313849,0.350560241,-1.611142712,0.999310351,-1.56021731,0.539569445,-1.61436837,-1.52366771
Pcdh11x,0,1.944913826,0,0,0,0,0.833672826,0
Pdzd4,-0.870563583,-0.134139531,-0.838702107,0.783505015,-0.750427307,0.27401345,-0.847383914,-0.640781926
Phka1,0,0.649735927,0,0,0,0,2.549833496,0
Reps2,0,-0.674283072,-1.20460549,0.66338543,-1.391790646,0.316461029,-1.492008949,-0.435845357
Rps6ka3,-0.264222031,0,0.930603916,0,-0.316806584,-0.189098166,-0.254082421,0.171122795
Sat1,0,0,1.674789901,0,,0,1.67324864,0
Sh3kbp1,0.916813823,-0.330381246,1.70815008,-0.85501262,-0.426609071,-0.168887152,-0.888263389,-0.76759522
Slc16a2,-0.819070787,-0.379767606,-0.84913782,0.267424855,2.469412148,-0.481659222,-0.175043805,0.120127549
Slc9a7,-0.823187091,0,0.166181377,0.389069367,0,0.270364371,-0.410464785,0
Stag2,0.34109505,0,0.897603186,-0.578456143,0.343365501,-0.168652187,0.191489944,0.600452801
Syn1,-0.698421155,-0.334711637,-0.762811329,0.697643909,-0.663721514,0.266333971,-0.793444406,-0.343054119
Syp,-0.389689699,-0.499508745,-0.430423633,0.470559183,-0.568429614,0.274243452,-0.562822413,-0.444415603
Tbl1x,0,0.203978975,0,-0.877325838,0.449898739,0.238509921,0.553794967,0
Tenm1,-1.980604613,0.570020414,-1.837212084,0.774551865,-1.86073415,1.331215233,-1.95581523,-1.797915895
Thoc2,0.117524684,0,0.38621847,-0.203433504,0.153868508,-0.131564328,0.122195805,0.225405046
Tmem164,0,0,1.332757883,0,0.871450499,0,1.418670937,1.222696289
Tro,-0.713715502,0,-0.663294126,0.517107898,0,0.476064167,-0.51402606,0
Trpc5,-1.24198058,-0.557681107,-1.134663256,1.017255077,-1.136386736,0.507171716,-1.235692152,-1.05916659
Tspan7,-1.111420989,0,-0.815193855,-0.963818651,-1.753397795,-0.534966954,2.744468952,-1.081885206
Usp9x,0.363416542,-0.33517496,0.344384,-0.278176719,0.183434112,0,-0.149468146,0.347887937
Xist,-0.301395896,0,0.719945513,-0.106197118,0.509735461,-0.477831595,0.341903913,0
Zcchc18,-0.49230758,-0.228175861,-0.565273324,0.291323464,-0.191359876,0.508237531,-0.177336176,-0.575050509
Dmd,-1.59178748,0.874293521,-2.664526695,0.90686318,-0.734403962,-0.448668043,0.205034508,-1.134103135
Araf,-0.122798251,0.324505183,-0.555052187,0,-0.102895528,0.124357243,0.115798275,0
Arhgap6,0,0,0,0,0,0,3.071440394,0
Atrx,0.19881398,0.164811005,0.266739428,-0.182249885,0.331474673,-0.112223551,0.278127968,0
Huwe1,0.181654541,0,0.166984138,-0.257413102,0.512316884,0,0,0.335899029
Mecp2,0.339960192,0,0.284820275,-0.265455911,0.162023348,-0.12430421,0,0.352803692
Kdm5c,0.139779953,0,0.282881325,-0.203975841,0.284293116,0,0,0.234727492
Kdm6a,0.954069132,0,0.318021067,-0.617825005,0.169664953,-0.362757697,0,0.391816396
Txlng,0,-0.137034346,0,0,0,0,0,0
Plp1,5.098867971,0,0,-3.793412196,0,0,0,0
Zc3h12b,-0.401494197,0,-0.153662233,0.235790308,0.226001779,0,0,0
Dock11,0,0,1.593569552,0,0,0.204832224,0,0
Gpr34,0,0,2.525819842,0,0,0,0,0
Tlr7,0,0,2.257101317,0,0,0,0,0
Ammecr1,0,0,0,0,0.542033013,0.450279134,0,0
Atp6ap2,0,0,0,0,0,0.235219633,0,0
Cstf2,0,0,0,0,0,0.333406539,0,0
Ctps2,0,0,0,0,0,0.236862693,0,0
Dcx,0,0,0,0,0,0.908739833,0,0
Frmpd3,0,0,0,0,0,0.964405172,0,0
Gabra3,0,0,0,0,0,0.552528461,0,0
Hdx,0,0,0,0,0,0.340866049,0,0
Las1l,0,0,0,-0.130366297,0,0.699376057,0,0
Nhs,0,0,0,0,0,1.629252361,0,0
Pola1,0,0,0,0,0,0.273290652,0,0
Smarca1,0,0,0,0,0,0.387245951,0,0
