"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ttr",0,3.18050098865037,0.58,0.006,0
"Plp1",4.86066295778371e-92,-0.824683181018496,0.501,0.62,1.21725582451777e-87
"Cmss1",3.09740095708282e-74,-0.520243419114382,0.628,0.638,7.7568212168225e-70
"Edil3",2.46617747677939e-72,-0.536507991519159,0.691,0.766,6.17604825509863e-68
"Scd2",6.18265176724313e-67,-0.51956626777559,0.436,0.46,1.5483214820707e-62
"Frmd5",3.72742271058798e-65,-0.450607431908893,0.792,0.826,9.33458469412547e-61
"mt-Co3",8.50408637855029e-63,0.50445612525916,0.491,0.307,2.12967835178035e-58
"Ptn",5.96550443974022e-62,-0.681870395257389,0.27,0.343,1.49394127684414e-57
"4930419G24Rik",2.02929608122545e-58,-0.427015633470063,0.656,0.697,5.08196617621288e-54
"Phlpp1",6.31015542896562e-57,-0.430589080284117,0.659,0.707,1.58025222407586e-52
"H3f3b",1.84347929713584e-54,0.409025614431106,0.354,0.214,4.61662520381728e-50
"Apoe",2.50697422665395e-54,-0.383970278167429,0.445,0.429,6.2782155558095e-50
"AY036118",5.27112300288359e-54,-0.359108656679477,0.499,0.5,1.32004733361214e-49
"Syt11",6.83747698233708e-54,-0.328001607316873,0.333,0.328,1.71230936068668e-49
"Picalm",7.91399607718606e-54,-0.0647266728962701,0.332,0.265,1.9819020376097e-49
"Cdk19",1.5089784610262e-53,-0.447675877993915,0.52,0.568,3.7789347599479e-49
"Vps8",3.93800768259854e-52,-0.159075654444403,0.259,0.219,9.86195263953153e-48
"Psap",1.86303192162981e-51,-0.107494673071824,0.299,0.245,4.66559084133752e-47
"Pde4b",5.81105362321331e-51,-0.350243202905753,0.923,0.945,1.45526215886131e-46
"Arhgef2",5.8889839004831e-51,-0.290442216809384,0.268,0.253,1.47477823819798e-46
"Rcan2",6.43339796223027e-51,-0.41992676317758,0.266,0.27,1.61111585168133e-46
"Srsf7",1.36057217769443e-50,0.335102554443933,0.3,0.18,3.40728090460016e-46
"Igf1r",3.90205711851589e-50,-0.316481012508638,0.416,0.405,9.77192164189935e-46
"Magi2",5.42813641933569e-50,-0.363710822035725,0.905,0.938,1.35936820349424e-45
"Sept7",7.28921699311197e-49,-0.426161651862642,0.286,0.308,1.82543861158503e-44
"Snrnp70",4.57352598496925e-48,-0.264284745305123,0.449,0.44,1.14534811241585e-43
"Kcnip4",4.58380909579022e-48,-0.794607571951166,0.24,0.358,1.14792331185875e-43
"Wnk1",6.93891082433012e-48,-0.101093661813582,0.387,0.326,1.73771143773699e-43
"Arid1b",8.12694210316828e-48,-0.0216662043889491,0.341,0.268,2.03523011089643e-43
"mt-Atp6",1.06351428972822e-47,0.352687796923252,0.439,0.29,2.66335883576639e-43
"Dlg1",1.3827087417264e-46,-0.187050685617103,0.369,0.333,3.46271750190542e-42
"Daam2",1.8997019253531e-46,-0.469245211904311,0.23,0.261,4.75742353166178e-42
"Klf9",1.00114435516695e-45,0.229978527771136,0.278,0.179,2.50716580864459e-41
"Chd6",8.91820216092337e-45,0.180676284663684,0.274,0.184,2.23338536716004e-40
"Nsd1",1.05176675627659e-44,0.0470541618150122,0.386,0.301,2.63393948774346e-40
"Zfp638",1.6151126462168e-44,0.0246068345169914,0.442,0.351,4.04472659992073e-40
"Ptprd",2.09092505855454e-44,-0.400158087196074,0.72,0.753,5.23630362413813e-40
"Atp8a1",2.17511092636818e-44,-0.346121732672799,0.398,0.414,5.44713029290385e-40
"Ubr2",3.63608580549714e-44,-0.168929355477386,0.294,0.259,9.10584968270649e-40
"Pvt1",4.4242277711186e-44,0.361626192495067,0.502,0.354,1.10795936072123e-39
"Creb5",5.26204178724629e-44,0.20582147748989,0.434,0.312,1.31777312478009e-39
"Cdc37l1",5.46663785591722e-44,-0.318642715656536,0.43,0.434,1.36901011825735e-39
