"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tsix",0,2.92411079498366,0.605,0.001,0
"Xist",0,4.01722063864918,0.87,0,0
"Gpm6a",1.0437580200888e-52,0.527897406600127,0.811,0.65,2.61388320970838e-48
"Gm42418",2.13798364675993e-49,0.374464741195156,0.963,0.881,5.35415244658089e-45
"Zbtb20",4.52028318794547e-44,0.294484609924125,0.982,0.963,1.13201451875718e-39
"Malat1",1.97252030016929e-39,-0.215774842049852,1,1,4.93978258771394e-35
"Npas3",8.73107955950032e-37,0.261835325207485,0.981,0.965,2.18652425408566e-32
"Mid1",5.99031715678956e-34,-0.595358143657838,0.279,0.367,1.50015512557481e-29
"Gm26804",1.034139034525e-32,-0.339816891883281,0.759,0.784,2.58979438416096e-28
"Cmss1",6.86297551384867e-32,0.41790294914745,0.721,0.574,1.71869495793312e-27
"Dlgap1",4.67110176934571e-31,0.426168417309365,0.774,0.647,1.16978401609725e-26
"Fgfr2",5.96993488036808e-30,-0.33136126834701,0.86,0.878,1.49505079209058e-25
"Asic2",8.40596391808126e-27,-0.399898494696083,0.516,0.556,2.10510554400509e-22
"Cadm2",3.50229736221865e-25,0.23681395590717,0.97,0.953,8.77080328420417e-21
"Sorbs1",8.63460086984556e-25,0.375281166502222,0.794,0.69,2.16236309583542e-20
"Kcnn2",9.87670743743851e-22,-0.298581882404486,0.696,0.731,2.47342384355773e-17
"Ttc28",3.43888876088974e-21,0.218416880601928,0.402,0.296,8.61200912389618e-17
"Ptprt",7.9882379655204e-21,0.261842237994668,0.896,0.829,2.00049443370528e-16
"Psd3",8.66236368846056e-21,0.301891041573676,0.564,0.432,2.16931573850118e-16
"Rgs6",1.5106351492566e-20,0.554802638809682,0.283,0.173,3.7830836042833e-16
"Acss2",3.04060208891188e-20,-0.485358426023556,0.23,0.296,7.61457981126203e-16
"1110051M20Rik",6.75650516462711e-20,0.175798327456864,0.411,0.309,1.69203158837757e-15
